Category,Severity,Frequency,Total,Percentage
Simulator,Minor,2.616088947024199e-07,0.006701953132856475,0.004
Simulator,Minor,2.5078369905956113e-07,0.006701953132856475,0.004
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,1.299545159194282e-06,0.006701953132856475,0.019
Simulator,Minor,6.113780377411044e-06,0.006701953132856475,0.091
Simulator,Minor,5.44167168154057e-06,0.006701953132856475,0.081
Simulator,Minor,1.0041755257832314e-06,0.006701953132856475,0.015
Simulator,Minor,1.0142183855311626e-06,0.006701953132856475,0.015
Simulator,Minor,4.398175571614738e-06,0.006701953132856475,0.066
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,7.460366801367734e-06,0.006701953132856475,0.111
Simulator,Minor,6.99912510936133e-06,0.006701953132856475,0.104
Simulator,Minor,8.88180368936461e-06,0.006701953132856475,0.133
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,6.363636363636364e-05,0.006701953132856475,0.95
Simulator,Minor,6.0869565217391306e-05,0.006701953132856475,0.908
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Minor,0.0,0.006701953132856475,0.0
Simulator,Blocker,8.675899927437928e-07,0.006701953132856475,0.013
Simulator,Blocker,7.689350249903884e-07,0.006701953132856475,0.011
Simulator,Blocker,8.371002846140967e-07,0.006701953132856475,0.012
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.226794611551947e-07,0.006701953132856475,0.014
Simulator,Blocker,9.243852837862821e-07,0.006701953132856475,0.014
Simulator,Blocker,9.203018590097552e-07,0.006701953132856475,0.014
Simulator,Blocker,9.203018590097552e-07,0.006701953132856475,0.014
Simulator,Blocker,9.203018590097552e-07,0.006701953132856475,0.014
Simulator,Blocker,9.243852837862821e-07,0.006701953132856475,0.014
Simulator,Blocker,9.243852837862821e-07,0.006701953132856475,0.014
Simulator,Blocker,7.110352673492606e-07,0.006701953132856475,0.011
Simulator,Blocker,7.110352673492606e-07,0.006701953132856475,0.011
