Category,Project,Severity,Frequency,Total,Percentage
Quantum-Chemistry,quantarhei,NBlocker,1.9289260423726091e-07,2.1487981586053815e-05,0.898
Quantum-Chemistry,quantum_package,Critical,8.3500396566284e-06,2.9884383430377727e-05,27.941
Quantum-Chemistry,quantum_package,Major,1.5158105591566432e-05,2.9884383430377727e-05,50.722
Quantum-Chemistry,quantum_package,Minor,2.9338401613918384e-06,2.9884383430377727e-05,9.817
Quantum-Chemistry,quantum_package,NBlocker,3.442398020791053e-06,2.9884383430377727e-05,11.519
Quantum-Chemistry,QuantumLab.jl,Critical,0.0,0.0,0
Quantum-Chemistry,QuantumLab.jl,Major,0.0,0.0,0
Quantum-Chemistry,QuantumLab.jl,Minor,0.0,0.0,0
Quantum-Chemistry,QuantumLab.jl,NBlocker,0.0,0.0,0
Quantum-Chemistry,q2mm,Critical,1.6945806222446467e-05,2.2459598481956467e-05,75.45
Quantum-Chemistry,q2mm,Major,4.419756243740325e-06,2.2459598481956467e-05,19.679
Quantum-Chemistry,q2mm,Minor,8.30769729797924e-07,2.2459598481956467e-05,3.699
Quantum-Chemistry,q2mm,NBlocker,2.632662859717506e-07,2.2459598481956467e-05,1.172
Quantum-Chemistry,critic2,Critical,0.0,0.0,0
Quantum-Chemistry,critic2,Major,0.0,0.0,0
Quantum-Chemistry,critic2,Minor,0.0,0.0,0
Quantum-Chemistry,critic2,NBlocker,0.0,0.0,0
Quantum-Chemistry,GQCP,Critical,0.00013961714523512276,0.00015154194882659302,92.131
Quantum-Chemistry,GQCP,Major,2.8058361391694725e-06,0.00015154194882659302,1.852
Quantum-Chemistry,GQCP,Minor,9.118967452300786e-06,0.00015154194882659302,6.017
Quantum-Chemistry,GQCP,NBlocker,0.0,0.00015154194882659302,0.0
Quantum-Chemistry,qcdb,Critical,6.391377520477089e-06,8.740811395677287e-06,73.121
Quantum-Chemistry,qcdb,Major,1.5789887943298931e-06,8.740811395677287e-06,18.065
Quantum-Chemistry,qcdb,Minor,6.337135362772587e-07,8.740811395677287e-06,7.25
Quantum-Chemistry,qcdb,NBlocker,1.3673154459304651e-07,8.740811395677287e-06,1.564
ToolKit,libint,Critical,0.0,7.34715815178454e-05,0.0
ToolKit,libint,Major,0.0,7.34715815178454e-05,0.0
ToolKit,libint,Minor,1.667321913971815e-05,7.34715815178454e-05,22.693
ToolKit,libint,NBlocker,5.679836237812724e-05,7.34715815178454e-05,77.307
ToolKit,QuantumOptics.jl,Critical,0.0001276827012025902,0.0001276827012025902,100.0
ToolKit,QuantumOptics.jl,Major,0.0,0.0001276827012025902,0.0
ToolKit,QuantumOptics.jl,Minor,0.0,0.0001276827012025902,0.0
ToolKit,QuantumOptics.jl,NBlocker,0.0,0.0001276827012025902,0.0
ToolKit,quimb,Critical,2.5282635126245544e-06,1.586314773768281e-05,15.938
ToolKit,quimb,Major,9.753360145439534e-06,1.586314773768281e-05,61.484
ToolKit,quimb,Minor,2.9611848726312482e-06,1.586314773768281e-05,18.667
ToolKit,quimb,NBlocker,6.203392069874732e-07,1.586314773768281e-05,3.911
ToolKit,pennylane,Critical,1.3867733660637902e-05,2.6309776008096013e-05,52.709
ToolKit,pennylane,Major,8.006618094855108e-06,2.6309776008096013e-05,30.432
ToolKit,pennylane,Minor,4.1236628493412164e-06,2.6309776008096013e-05,15.674
ToolKit,pennylane,NBlocker,3.117614032617872e-07,2.6309776008096013e-05,1.185
ToolKit,QPanda-2,Critical,2.1654063336615734e-06,6.173090664381395e-05,3.508
ToolKit,QPanda-2,Major,1.8002896327865667e-05,6.173090664381395e-05,29.164
ToolKit,QPanda-2,Minor,5.129392442419389e-06,6.173090664381395e-05,8.309
ToolKit,QPanda-2,NBlocker,3.643321153986731e-05,6.173090664381395e-05,59.019
ToolKit,quantum,Critical,2.2756423517729322e-07,1.7163994733420066e-05,1.326
ToolKit,quantum,Major,1.5029679638108847e-05,1.7163994733420066e-05,87.565
ToolKit,quantum,Minor,1.824000229160367e-06,1.7163994733420066e-05,10.627
ToolKit,quantum,NBlocker,8.275063097356117e-08,1.7163994733420066e-05,0.482
