categories,repos,repo_id,interval,commits,cloc
Full-stack Library,quantumlib/Cirq,14,150,900,221134
Full-stack Library,quantumlib/Cirq,14,180,900,221134
Full-stack Library,softwareQinc/staq,15,90,100,1315500
Full-stack Library,softwareQinc/staq,15,120,100,1315500
Full-stack Library,softwareQinc/staq,15,150,100,1315500
Full-stack Library,softwareQinc/staq,15,180,100,1315500
Full-stack Library,softwareQinc/staq,15,60,94,1315440
Full-stack Library,softwareQinc/staq,15,30,95,1168422
Compiler,microsoft/qsharp-compiler,0,30,148,161959
Compiler,microsoft/qsharp-compiler,0,60,152,162323
Compiler,microsoft/qsharp-compiler,0,90,154,162549
Compiler,microsoft/qsharp-compiler,0,120,154,162549
Compiler,microsoft/qsharp-compiler,0,150,154,162549
Compiler,microsoft/qsharp-compiler,0,180,155,162619
Compiler,QE-Lab/OpenQL,1,30,791,6214210
Compiler,QE-Lab/OpenQL,1,60,798,6214500
Compiler,QE-Lab/OpenQL,1,90,796,6214434
Compiler,QE-Lab/OpenQL,1,120,800,6214562
Compiler,QE-Lab/OpenQL,1,150,800,6214562
Compiler,QE-Lab/OpenQL,1,180,800,6214562
Compiler,Quantomatic/pyzx,2,60,287,2417935
Compiler,Quantomatic/pyzx,2,90,289,2434527
Compiler,Quantomatic/pyzx,2,120,293,2435301
Compiler,Quantomatic/pyzx,2,150,294,2435323
Compiler,Quantomatic/pyzx,2,180,291,2434576
Compiler,Quantomatic/pyzx,2,30,272,2403798
Experimentation,BBN-Q/QGL,0,30,646,87372
Experimentation,BBN-Q/QGL,0,60,676,90114
Experimentation,BBN-Q/QGL,0,90,698,82574
Experimentation,BBN-Q/QGL,0,120,697,82678
Experimentation,BBN-Q/QGL,0,150,707,90105
Experimentation,BBN-Q/QGL,0,180,693,82920
Experimentation,m-labs/artiq,1,30,3340,239288
Experimentation,m-labs/artiq,1,60,3303,248596
Experimentation,m-labs/artiq,1,90,3393,238564
Experimentation,m-labs/artiq,1,120,3213,230520
Experimentation,m-labs/artiq,1,150,3219,242391
Experimentation,m-labs/artiq,1,180,3109,224334
Experimentation,sedabull/quantum-shell,2,180,94,4758
Experimentation,sedabull/quantum-shell,2,150,92,4679
Experimentation,sedabull/quantum-shell,2,120,90,4664
Experimentation,sedabull/quantum-shell,2,90,86,4632
Experimentation,sedabull/quantum-shell,2,60,76,4580
Experimentation,sedabull/quantum-shell,2,30,51,2969
Experimentation,iitis/QuantumInformation.jl,3,30,230,28132
Experimentation,iitis/QuantumInformation.jl,3,60,260,29226
Experimentation,iitis/QuantumInformation.jl,3,90,269,29692
Experimentation,iitis/QuantumInformation.jl,3,120,278,29896
Experimentation,iitis/QuantumInformation.jl,3,150,279,29929
Experimentation,iitis/QuantumInformation.jl,3,180,281,30021
Experimentation,qutech/qupulse,4,30,937,392487
Experimentation,qutech/qupulse,4,60,980,401197
Experimentation,qutech/qupulse,4,90,982,397017
Experimentation,qutech/qupulse,4,120,980,383605
Experimentation,qutech/qupulse,4,150,997,410079
Experimentation,qutech/qupulse,4,180,997,410079
Experimentation,lneuhaus/pyrpl,5,30,933,958600
Experimentation,lneuhaus/pyrpl,5,60,952,960245
Experimentation,lneuhaus/pyrpl,5,90,961,960742
Experimentation,lneuhaus/pyrpl,5,120,964,960765
Experimentation,lneuhaus/pyrpl,5,150,964,960765
Experimentation,lneuhaus/pyrpl,5,180,966,960770
Experimentation,BBN-Q/Qlab,6,60,1094,455336
Experimentation,BBN-Q/Qlab,6,90,1142,465022
Experimentation,BBN-Q/Qlab,6,120,1158,470208
Experimentation,BBN-Q/Qlab,6,150,1175,467901
Experimentation,BBN-Q/Qlab,6,180,1178,473056
Experimentation,BBN-Q/Qlab,6,30,1093,443170
Experimentation,BBN-Q/PyQLab,7,180,590,46517
Experimentation,BBN-Q/PyQLab,7,150,575,45638
Experimentation,BBN-Q/PyQLab,7,120,589,46462
Experimentation,BBN-Q/PyQLab,7,90,574,46068
Experimentation,BBN-Q/PyQLab,7,60,558,45560
Experimentation,BBN-Q/PyQLab,7,30,533,42740
Experimentation,zlatko-minev/pyEPR,8,30,159,43275
Experimentation,zlatko-minev/pyEPR,8,60,182,49009
Experimentation,zlatko-minev/pyEPR,8,90,188,49277
Experimentation,zlatko-minev/pyEPR,8,120,189,49327
Experimentation,zlatko-minev/pyEPR,8,150,191,49355
Experimentation,zlatko-minev/pyEPR,8,180,192,49377
Cryptography,theQRL/QRL,0,60,1774,780791
Cryptography,theQRL/QRL,0,90,1849,786763
Cryptography,theQRL/QRL,0,120,1839,784820
Cryptography,theQRL/QRL,0,150,1850,786763
Cryptography,theQRL/QRL,0,180,1840,784820
Cryptography,theQRL/QRL,0,30,1695,771652
Cryptography,exaexa/codecrypt,1,150,267,15438
Cryptography,exaexa/codecrypt,1,180,268,15440
Cryptography,exaexa/codecrypt,1,120,265,15353
Cryptography,exaexa/codecrypt,1,90,259,15331
Cryptography,exaexa/codecrypt,1,60,239,14470
Cryptography,exaexa/codecrypt,1,30,189,10046
Cryptography,mupq/pqm4,2,30,76,166103
Cryptography,mupq/pqm4,2,60,86,169816
Cryptography,mupq/pqm4,2,90,89,171442
Cryptography,mupq/pqm4,2,120,90,171447
Cryptography,mupq/pqm4,2,150,91,171447
Cryptography,mupq/pqm4,2,180,92,171463
Cryptography,supernomad/quantum,3,180,213,22300
Cryptography,supernomad/quantum,3,150,212,22279
Cryptography,supernomad/quantum,3,120,210,21863
Cryptography,supernomad/quantum,3,90,207,21747
Cryptography,supernomad/quantum,3,60,200,21325
Cryptography,supernomad/quantum,3,30,177,20459
Quantum-Chemistry,ValeevGroup/mpqc,0,180,4871,3395661
Quantum-Chemistry,ValeevGroup/mpqc,0,150,4824,3335451
Quantum-Chemistry,ValeevGroup/mpqc,0,120,4819,3296079
Quantum-Chemistry,ValeevGroup/mpqc,0,90,4722,3276558
Quantum-Chemistry,ValeevGroup/mpqc,0,60,4755,3254220
Quantum-Chemistry,ValeevGroup/mpqc,0,30,4453,3128182
Quantum-Chemistry,pyscf/pyscf,1,30,3307,3450448
Quantum-Chemistry,pyscf/pyscf,1,60,3305,3740475
Quantum-Chemistry,pyscf/pyscf,1,90,3306,3751935
Quantum-Chemistry,pyscf/pyscf,1,120,3409,3759167
Quantum-Chemistry,pyscf/pyscf,1,150,3405,3809407
Quantum-Chemistry,pyscf/pyscf,1,180,3285,3555637
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,150,465,5258326
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,180,465,5258326
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,90,464,5258186
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,120,460,5257289
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,60,462,5258175
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,30,449,4888897
Quantum-Chemistry,MolSSI/QCElemental,3,30,423,307833
Quantum-Chemistry,MolSSI/QCElemental,3,60,421,107026
Quantum-Chemistry,MolSSI/QCElemental,3,90,397,93709
Quantum-Chemistry,MolSSI/QCElemental,3,120,431,305781
Quantum-Chemistry,MolSSI/QCElemental,3,150,441,308228
Quantum-Chemistry,MolSSI/QCElemental,3,180,439,308218
Quantum-Chemistry,MolSSI/QCEngine,4,60,597,117983
Quantum-Chemistry,MolSSI/QCEngine,4,90,594,118018
Quantum-Chemistry,MolSSI/QCEngine,4,120,599,118038
Quantum-Chemistry,MolSSI/QCEngine,4,150,600,118043
Quantum-Chemistry,MolSSI/QCEngine,4,180,600,118043
Quantum-Chemistry,MolSSI/QCEngine,4,30,542,106311
Quantum-Chemistry,MolSSI/QCFractal,5,90,1252,183080
Quantum-Chemistry,MolSSI/QCFractal,5,120,1265,182226
Quantum-Chemistry,MolSSI/QCFractal,5,150,1300,187864
Quantum-Chemistry,MolSSI/QCFractal,5,180,1272,185257
Quantum-Chemistry,MolSSI/QCFractal,5,60,1247,182647
Quantum-Chemistry,MolSSI/QCFractal,5,30,1186,176288
Quantum-Chemistry,SebWouters/CheMPS2,6,180,350,719947
Quantum-Chemistry,SebWouters/CheMPS2,6,150,347,719914
Quantum-Chemistry,SebWouters/CheMPS2,6,120,348,719918
Quantum-Chemistry,SebWouters/CheMPS2,6,90,340,718777
Quantum-Chemistry,SebWouters/CheMPS2,6,60,330,717532
